Case,aiRetentionOfferSuggestion,nvarchar,-1
Case,aiSummary,nvarchar,-1
Case,approvalState,nvarchar,50
Case,assignedPersonId,nvarchar,450
Case,assignedPersonName,nvarchar,-1
Case,assignedTeamId,nvarchar,450
Case,assignedTeamName,nvarchar,-1
Case,cancellationReason,nvarchar,-1
Case,cancellationRequest,bit,0
Case,caseNumber,nvarchar,50
Case,caseType,nvarchar,50
Case,category,nvarchar,255
Case,checklistItems,nvarchar,-1
Case,churnResult,nvarchar,50
Case,communicationChannelOverride,nvarchar,255
Case,communicationState,nvarchar,255
Case,companyId,nvarchar,450
Case,companyName,nvarchar,-1
Case,createdAt,datetime2,0
Case,customerCompanyName,nvarchar,-1
Case,customerContactEmail,nvarchar,-1
Case,customerContactName,nvarchar,-1
Case,customerContactPhone,nvarchar,-1
Case,customerMatchPending,bit,0
Case,customFields,nvarchar,-1
Case,description,nvarchar,-1
Case,escalationLevel,nvarchar,50
Case,financialStatus,nvarchar,50
Case,followUpDate,datetime2,0
Case,id,nvarchar,450
Case,offeredSolutions,nvarchar,-1
Case,offerExpiryDate,datetime2,0
Case,offerOutcome,nvarchar,50
Case,offerRejectionReason,nvarchar,-1
Case,origin,nvarchar,50
Case,originDescription,nvarchar,255
Case,packageId,nvarchar,450
Case,packageName,nvarchar,-1
Case,priority,nvarchar,50
Case,productGroup,nvarchar,-1
Case,productId,nvarchar,450
Case,productName,nvarchar,-1
Case,productUsage,nvarchar,50
Case,qaClarityScore,int,0
Case,qaEmpathyScore,int,0
Case,qaFeedback,nvarchar,-1
Case,qaScoredAt,datetime2,0
Case,qaSpeedScore,int,0
Case,requestType,nvarchar,50
Case,resolutionNote,nvarchar,-1
Case,resolvedAt,datetime2,0
Case,responseLevel,nvarchar,50
Case,retentionStatus,nvarchar,50
Case,slaPausedAt,datetime2,0
Case,slaPausedDurationMin,int,0
Case,slaResolutionDueAt,datetime2,0
Case,slaResponseDueAt,datetime2,0
Case,slaThirdPartyWaitMin,int,0
Case,slaViolation,bit,0
Case,snoozePreviousStatus,nvarchar,50
Case,snoozeReason,nvarchar,50
Case,snoozeUntil,datetime2,0
Case,status,nvarchar,50
Case,subCategory,nvarchar,-1
Case,supportLevel,nvarchar,50
Case,thirdPartyId,nvarchar,450
Case,thirdPartyName,nvarchar,-1
Case,title,nvarchar,-1
Case,transferCount,int,0
Case,updatedAt,datetime2,0
Case,usageChangeAlert,nvarchar,50
CaseActivity,action,nvarchar,-1
CaseActivity,actionType,nvarchar,50
CaseActivity,actor,nvarchar,-1
CaseActivity,at,datetime2,0
CaseActivity,caseId,nvarchar,450
CaseActivity,companyId,nvarchar,450
CaseActivity,fieldName,nvarchar,-1
CaseActivity,fromValue,nvarchar,-1
CaseActivity,id,nvarchar,450
CaseActivity,note,nvarchar,-1
CaseActivity,toValue,nvarchar,-1
CaseApproval,approvalType,nvarchar,255
CaseApproval,caseId,nvarchar,450
CaseApproval,companyId,nvarchar,450
CaseApproval,decidedAt,datetime2,0
CaseApproval,decidedBy,nvarchar,-1
CaseApproval,decision,nvarchar,50
CaseApproval,decisionReason,nvarchar,-1
CaseApproval,id,nvarchar,450
CaseApproval,requestedAt,datetime2,0
CaseApproval,requestedBy,nvarchar,-1
CaseAttachment,caseId,nvarchar,450
CaseAttachment,companyId,nvarchar,450
CaseAttachment,fileName,nvarchar,-1
CaseAttachment,fileSize,int,0
CaseAttachment,fileUrl,nvarchar,-1
CaseAttachment,id,nvarchar,450
CaseAttachment,mimeType,nvarchar,255
CaseAttachment,uploadedAt,datetime2,0
CaseAttachment,uploadedBy,nvarchar,-1
CaseCallLog,callDate,datetime2,0
CaseCallLog,callDisposition,nvarchar,50
CaseCallLog,callerId,nvarchar,450
CaseCallLog,callerName,nvarchar,-1
CaseCallLog,callOutcome,nvarchar,50
CaseCallLog,caseId,nvarchar,450
CaseCallLog,companyId,nvarchar,450
CaseCallLog,description,nvarchar,-1
CaseCallLog,durationMin,int,0
CaseCallLog,id,nvarchar,450
CaseCallLog,lastInteractionDate,datetime2,0
CaseCallLog,nextFollowupDate,datetime2,0
CaseLink,caseId,nvarchar,450
CaseLink,companyId,nvarchar,450
CaseLink,createdAt,datetime2,0
CaseLink,createdBy,nvarchar,-1
CaseLink,id,nvarchar,450
CaseLink,linkedCaseId,nvarchar,450
CaseLink,linkType,nvarchar,50
CaseMention,caseId,nvarchar,450
CaseMention,companyId,nvarchar,450
CaseMention,createdAt,datetime2,0
CaseMention,id,nvarchar,450
CaseMention,mentionedBy,nvarchar,-1
CaseMention,mentionedUserId,nvarchar,450
CaseMention,noteId,nvarchar,450
CaseMention,seenAt,datetime2,0
CaseNote,authorId,nvarchar,450
CaseNote,authorName,nvarchar,-1
CaseNote,caseId,nvarchar,450
CaseNote,companyId,nvarchar,450
CaseNote,content,nvarchar,-1
CaseNote,createdAt,datetime2,0
CaseNote,id,nvarchar,450
CaseNote,parentNoteId,nvarchar,450
CaseNote,replyCount,int,0
CaseNote,visibility,nvarchar,50
CaseNoteReaction,companyId,nvarchar,450
CaseNoteReaction,createdAt,datetime2,0
CaseNoteReaction,emoji,nvarchar,50
CaseNoteReaction,id,nvarchar,450
CaseNoteReaction,noteId,nvarchar,450
CaseNoteReaction,userId,nvarchar,450
CaseNotification,caseId,nvarchar,450
CaseNotification,channel,nvarchar,50
CaseNotification,companyId,nvarchar,450
CaseNotification,eventType,nvarchar,255
CaseNotification,id,nvarchar,450
CaseNotification,payload,nvarchar,-1
CaseNotification,readAt,datetime2,0
CaseNotification,recipient,nvarchar,255
CaseNotification,sentAt,datetime2,0
CaseOfferedSolution,caseId,nvarchar,450
CaseOfferedSolution,companyId,nvarchar,450
CaseOfferedSolution,expiryDate,datetime2,0
CaseOfferedSolution,id,nvarchar,450
CaseOfferedSolution,offeredAt,datetime2,0
CaseOfferedSolution,offeredBy,nvarchar,-1
CaseOfferedSolution,outcome,nvarchar,50
CaseOfferedSolution,rejectionReason,nvarchar,-1
CaseOfferedSolution,solutionDefId,nvarchar,450
CaseReminder,caseId,nvarchar,450
CaseReminder,companyId,nvarchar,450
CaseReminder,createdAt,datetime2,0
CaseReminder,id,nvarchar,450
CaseReminder,message,nvarchar,-1
CaseReminder,remindAt,datetime2,0
CaseReminder,sentAt,datetime2,0
CaseReminder,userId,nvarchar,450
CaseResolutionApproval,caseId,nvarchar,450
CaseResolutionApproval,companyId,nvarchar,450
CaseResolutionApproval,createdAt,datetime2,0
CaseResolutionApproval,customerMessageDraft,nvarchar,-1
CaseResolutionApproval,decidedAt,datetime2,0
CaseResolutionApproval,decidedByUserId,nvarchar,450
CaseResolutionApproval,expectedApproverPersonId,nvarchar,450
CaseResolutionApproval,id,nvarchar,450
CaseResolutionApproval,policyId,nvarchar,450
CaseResolutionApproval,policyNameSnapshot,nvarchar,-1
CaseResolutionApproval,rejectionReason,nvarchar,-1
CaseResolutionApproval,resolutionSummary,nvarchar,-1
CaseResolutionApproval,state,nvarchar,50
CaseResolutionApproval,submittedAt,datetime2,0
CaseResolutionApproval,submittedByUserId,nvarchar,450
CaseResolutionApproval,updatedAt,datetime2,0
CaseTransfer,aiConfidence,float,0
CaseTransfer,aiReasonCode,nvarchar,255
CaseTransfer,aiSuggestedReason,nvarchar,-1
CaseTransfer,aiSuggestedTeamId,nvarchar,450
CaseTransfer,caseId,nvarchar,450
CaseTransfer,companyId,nvarchar,450
CaseTransfer,fromPersonId,nvarchar,450
CaseTransfer,fromTeamId,nvarchar,450
CaseTransfer,id,nvarchar,450
CaseTransfer,reason,nvarchar,-1
CaseTransfer,reasonCode,nvarchar,255
CaseTransfer,toPersonId,nvarchar,450
CaseTransfer,toTeamId,nvarchar,450
CaseTransfer,transferredAt,datetime2,0
CaseTransfer,transferredBy,nvarchar,-1
CaseWatcher,addedAt,datetime2,0
CaseWatcher,addedBy,nvarchar,-1
CaseWatcher,caseId,nvarchar,450
CaseWatcher,companyId,nvarchar,450
CaseWatcher,id,nvarchar,450
CaseWatcher,userId,nvarchar,450
CategoryDef,companyId,nvarchar,450
CategoryDef,createdAt,datetime2,0
CategoryDef,description,nvarchar,-1
CategoryDef,id,nvarchar,450
CategoryDef,isActive,bit,0
CategoryDef,name,nvarchar,-1
CategoryDef,parentId,nvarchar,450
CategoryDef,updatedAt,datetime2,0
ChecklistTemplate,categoryName,nvarchar,-1
ChecklistTemplate,companyId,nvarchar,450
ChecklistTemplate,companyName,nvarchar,-1
ChecklistTemplate,createdAt,datetime2,0
ChecklistTemplate,description,nvarchar,-1
ChecklistTemplate,id,nvarchar,450
ChecklistTemplate,isActive,bit,0
ChecklistTemplate,items,nvarchar,-1
ChecklistTemplate,name,nvarchar,-1
ChecklistTemplate,productGroup,nvarchar,200
ChecklistTemplate,updatedAt,datetime2,0
Company,createdAt,datetime2,0
Company,externalKbSetting,nvarchar,50
Company,id,nvarchar,450
Company,isActive,bit,0
Company,name,nvarchar,200
Company,settings,nvarchar,50
Company,updatedAt,datetime2,0
CompanySettings,appName,nvarchar,-1
CompanySettings,companyId,nvarchar,450
CompanySettings,createdAt,datetime2,0
CompanySettings,logoUrl,nvarchar,-1
CompanySettings,primaryColor,nvarchar,-1
CompanySettings,projectsEnabled,bit,0
CompanySettings,projectsRequired,bit,0
CompanySettings,requireCustomerOnCaseCreate,bit,0
CompanySettings,supportEmail,nvarchar,-1
CompanySettings,updatedAt,datetime2,0
DocumentType,createdAt,datetime2,0
DocumentType,description,nvarchar,-1
DocumentType,id,nvarchar,450
DocumentType,isActive,bit,0
DocumentType,name,nvarchar,200
DocumentType,updatedAt,datetime2,0
ExternalKbSetting,allowAgentUse,bit,0
ExternalKbSetting,allowCsmUse,bit,0
ExternalKbSetting,allowSupervisorUse,bit,0
ExternalKbSetting,analyzeEndpointPath,nvarchar,-1
ExternalKbSetting,apiKeySecretName,nvarchar,-1
ExternalKbSetting,askEndpointPath,nvarchar,-1
ExternalKbSetting,authType,nvarchar,255
ExternalKbSetting,baseUrl,nvarchar,-1
ExternalKbSetting,categorizeEndpointPath,nvarchar,-1
ExternalKbSetting,companyId,nvarchar,450
ExternalKbSetting,createdAt,datetime2,0
ExternalKbSetting,defaultRerank,bit,0
ExternalKbSetting,defaultStrictness,nvarchar,-1
ExternalKbSetting,defaultTopK,int,0
ExternalKbSetting,defaultVerify,bit,0
ExternalKbSetting,enabled,bit,0
ExternalKbSetting,healthEndpointPath,nvarchar,-1
ExternalKbSetting,id,nvarchar,450
ExternalKbSetting,notes,nvarchar,-1
ExternalKbSetting,providerName,nvarchar,-1
ExternalKbSetting,searchEndpointPath,nvarchar,-1
ExternalKbSetting,showCitations,bit,0
